_id,No,Date,Crossroads,Road,Car_7-9,Van_7-9,Bus_7-9,Minibus_7-9,Truck_7-9,3Cycle_7-9,Car_9-17,Van_9-17,Bus_9-17,Minibus_9-17,Truck_9-17,3Cycle_9-17,Car_17-19,Van_17-19,Bus_17-19,Minibus_17-19,Truck_17-19,3Cycle_17-19,Total_Vol,Lat.,Lon.,Temperature,Rainfall,Holiday
29,29,2023-12-19,บางบอน 3 ซอย 5,บางบอน 3,2049,614.0,10,0,60,8,4651,2574.0,35,0,246,11,1281.0,634,11,0,38,4,12226.0,13.66774812,100.3849505,31.616776441124365,48.793794206122605,0
30,30,2023-12-19,บางบอน 3 ซอย 5,บางบอน 3 ซอย 5,841,367.0,1,0,23,1,2334,1362.0,2,0,171,5,611.0,268,1,0,14,1,6002.0,13.66774812,100.3849505,33.25598884622548,8.235536887178913,0
31,31,2023-12-19,บางบอน 3 ซอย 5,บางบอน 3 ซอย 10,3,3.0,0,0,0,0,9,7.0,0,0,0,0,5.0,7,0,0,0,0,34.0,13.66774812,100.3849505,28.725902446203236,19.327923613185156,0
32,32,2023-12-20,นอร์ธปาร์ค,กำแพงเพชร 6,3024,608.0,13,4,28,4,7632,2483.0,42,2,79,17,1775.0,543,3,0,26,1,16284.0,13.866681,100.570994,33.68230989294406,44.42333586124042,0
33,33,2023-12-20,นอร์ธปาร์ค,ชิดชน,2565,647.0,0,1,11,1,6395,2220.0,0,1,274,2,1456.0,364,0,1,61,0,13999.0,13.866681,100.570994,33.42731630762509,32.52524324798767,0
34,34,2023-12-21,ทองหล่อ 10,ทองหล่อ,2146,730.0,2,27,28,40,10110,3813.0,27,108,129,116,2642.0,865,4,17,15,36,20855.0,13.73248574,100.5822076,31.5141637089519,12.20640248072451,0
35,35,2023-12-21,ทองหล่อ 10,ทองหล่อ 11,35,18.0,0,0,0,0,256,106.0,0,0,1,1,46.0,29,0,0,0,0,492.0,13.73248574,100.5822076,34.36589221971337,2.6253830464231576,0
36,36,2023-12-21,ทองหล่อ 10,ทองหล่อ 10,988,288.0,0,0,11,48,4933,1827.0,3,4,44,57,553.0,470,0,0,4,7,9237.0,13.73248574,100.5822076,26.63942669369612,16.98915616144695,0
37,37,2023-12-22,ยุคล 2,ยุคล 2,488,142.0,9,0,3,27,1452,512.0,31,0,6,92,484.0,185,9,0,2,31,3473.0,13.75070957,100.5120435,29.938909202944956,48.33264704101567,0
38,38,2023-12-22,ยุคล 2,บำรุงเมือง,3981,547.0,63,0,16,114,12404,3834.0,148,1,141,971,2818.0,893,42,1,27,234,26235.0,13.75070957,100.5120435,25.198959584927344,12.878511479433746,0
39,39,2023-12-22,อนามัย,พลับพลาไชย,716,135.0,9,1,5,144,2222,953.0,29,3,25,684,451.0,173,6,0,4,153,5713.0,13.74989222,100.5144904,31.462792666893293,4.460592881707848,0
40,40,2023-12-22,อนามัย,บำรุงเมือง,3480,938.0,46,3,18,38,10811,4371.0,178,12,115,514,2775.0,1323,38,2,7,160,24829.0,13.74989222,100.5144904,30.552417020225214,24.163557536687414,0
41,41,2023-12-25,เพลินจิต,วิทยุ,1578,388.0,40,0,42,15,6273,2356.0,99,0,298,69,1310.0,492,16,1,23,12,13012.0,13.743342,100.547547,30.380095683684353,16.208365792202876,0
42,42,2023-12-25,เพลินจิต,เพลินจิต,4749,1141.0,114,5,12,48,20879,6454.0,397,15,263,1087,4739.0,1379,91,3,25,219,41620.0,13.743342,100.547547,30.814139775837116,20.703820471275947,0
43,43,2023-12-25,หน้าสถานเอกอัครราชทูตอเมริกา,วิทยุ,3093,700.0,45,0,14,30,14337,3695.0,228,1,185,438,3287.0,808,41,0,15,121,27038.0,13.73561529,100.546206,28.686561170466373,24.88638248790549,0
44,44,2023-12-26,ห้วยขวาง,รัชดาภิเษก,10053,1838.0,140,0,43,21,35512,10320.0,445,0,844,121,9701.0,3060,128,0,208,39,72473.0,13.778498,100.5736418,29.039781506828348,22.29830355622323,0
45,45,2023-12-26,ห้วยขวาง,ประชาราษฎร์บำเพ็ญ,1674,468.0,41,7,43,93,6846,2260.0,183,10,173,212,1608.0,682,35,2,27,45,14409.0,13.778498,100.5736418,32.188213633259,19.90492642818135,0
46,46,2024-01-02,เชื่อมสัมพันธ์ - บุรีภิรมย์,เชื่อมสัมพันธ์,2449,1879.0,20,7,44,5,11401,10073.0,37,11,326,14,2975.0,2210,36,4,69,3,31563.0,13.85635842,100.86303,26.400332771756347,20.591374603149077,0
47,47,2024-01-02,เชื่อมสัมพันธ์ - บุรีภิรมย์,บุรีภิรมย์,637,379.0,1,3,9,11,2501,1952.0,14,5,49,52,512.0,382,2,0,3,7,6519.0,13.85635842,100.86303,31.765141026069465,1.483315350450043,0
48,48,2024-01-03,หน้าโรงเรียนพรหมราษฎร์รังสรรค์,รางโพธิ์,202,99.0,0,0,2,0,504,298.0,1,0,26,0,231.0,108,1,0,4,0,1476.0,13.64164735,100.3953413,26.77830141299793,4.525544927263181,0
49,49,2024-01-03,หน้าโรงเรียนพรหมราษฎร์รังสรรค์,พรหมราษฎร์,788,317.0,0,0,14,9,2275,1018.0,0,0,126,22,391.0,359,0,1,32,3,5355.0,13.64164735,100.3953413,34.59179432143232,27.837814007702512,0
50,50,2024-01-03,หน้าวิทยาลัยเทคโนโลยีฐานเทคโนโลยี,พรมแดน,469,184.0,0,0,6,0,1113,679.0,0,0,86,3,305.0,135,0,0,6,0,2986.0,13.622712,100.376468,32.18799140807532,33.093235545999974,0
51,51,2024-01-04,ผลาสินธุ์ - ทางเข้าออกแฟลต  ทบ.ส่วนกลางบางเขน,ทางเข้าออกแฟลต ทบ.ส่วนกลางบางเขน,488,79.0,0,0,1,2,310,103.0,0,3,0,1,154.0,81,0,2,0,0,1224.0,13.8454459,100.5937302,34.41951263360156,6.822948134856333,0
52,52,2024-01-04,ผลาสินธุ์ - ทางเข้าออกแฟลต  ทบ.ส่วนกลางบางเขน,ผลาสินธุ์,1938,408.0,0,0,10,5,2928,969.0,5,0,54,22,1055.0,287,1,0,4,2,7688.0,13.8454459,100.5937302,32.88916108314275,9.048524776761784,0
53,53,2024-01-05,คลองสาน,เจริญนคร,1656,364.0,72,0,12,174,6375,1812.0,296,0,42,500,1735.0,438,61,0,6,94,13637.0,13.7300696,100.5086329,30.534437403878407,13.708942068948271,0
54,54,2024-01-05,คลองสาน,สมเด็จเจ้าพระยา,1155,230.0,36,2,3,39,4472,1607.0,171,5,133,197,1003.0,314,41,0,10,45,9463.0,13.7300696,100.5086329,26.117710716115155,38.71832443714759,0
55,55,2024-01-05,คลองสาน,ลาดหญ้า,850,174.0,40,1,8,73,3417,999.0,282,2,47,227,647.0,234,40,0,7,64,7112.0,13.7300696,100.5086329,32.06397105421251,45.95948920900047,0
56,56,2024-01-08,นวลจันทร์ - คลองลำเจียก,นวลจันทร์,1878,496.0,16,0,14,1,7180,2646.0,97,0,126,30,1633.0,674,11,0,12,3,14817.0,13.81965389,100.6440908,33.76071389101583,24.683642932956513,0
57,57,2024-01-08,นวลจันทร์ - คลองลำเจียก,คลองลำเจียก,824,286.0,0,0,6,4,3131,913.0,0,0,70,3,1005.0,198,0,0,2,1,6443.0,13.81965389,100.6440908,27.193344709839703,1.3687241248467041,0
58,58,2024-01-09,อ่อนนุช 17 แยก 18,อ่อนนุช 17,1033,457.0,0,0,6,4,3879,2087.0,0,0,41,42,1034.0,503,0,0,6,7,9099.0,13.72398907,100.6154523,30.87668851846226,8.969475354623285,0
59,59,2024-01-09,จุดกลับรถศรีนครินทร์หน้าเต็นท์รถเอพี,ศรีนครินทร์,7613,2670.0,58,6,127,9,32999,14217.0,310,22,1112,46,8415.0,2521,74,6,147,5,70357.0,13.70693028,100.645087,28.846968477056286,42.69386161822957,0
60,60,2024-01-10,วัดราชโกษา,ทางเข้าตลาดเทิดไท,36,43.0,0,0,1,0,145,146.0,0,0,9,0,70.0,52,0,0,3,0,505.0,13.6978152,100.8512539,27.591807180373586,11.567638622401011,0
61,61,2024-01-10,วัดราชโกษา,ขุมทองลำต้อยติ่ง,1203,562.0,0,0,41,2,2742,1350.0,1,0,162,5,953.0,466,1,0,21,1,7510.0,13.6978152,100.8512539,28.978724150231116,34.76889470442851,0
62,62,2024-01-10,วัดราชโกษา,หลวงแพ่ง,2572,1698.0,33,3,503,2,7268,6644.0,125,17,4095,16,2165.0,1849,33,2,773,2,27800.0,13.6978152,100.8512539,31.357098814694094,39.01070058192443,0
63,63,2024-01-11,บางขุนนนท์,จรัญสนิทวงศ์,4662,1146.0,124,9,64,93,17712,6270.0,562,30,477,289,4623.0,1708,141,4,56,55,38025.0,13.763886,100.473897,30.92699739582858,47.452761360172346,0
64,64,2024-01-11,บางขุนนนท์,บางขุนนนท์,1744,487.0,30,0,11,50,3835,1302.0,44,1,39,250,1092.0,342,9,0,7,87,9330.0,13.763886,100.473897,31.245837789508894,40.0312233376261,0
65,65,2024-01-11,บางขุนนนท์,จรัญสนิทวงศ์ 32,64,26.0,0,0,2,2,169,56.0,0,0,4,9,44.0,15,0,0,0,3,394.0,13.763886,100.473897,29.66648275666213,19.56508113042582,0
66,66,2024-01-12,หมอชิต 2,กำแพงเพชร 2,5726,1927.0,276,140,46,36,18844,6648.0,1196,509,285,89,5325.0,1636,336,124,90,16,43249.0,13.80938866,100.5481875,30.164757599518868,5.995807186717705,0
67,67,2024-01-12,หมอชิต 2,กำแพงเพชร 6,248,126.0,176,37,4,5,1076,450.0,762,208,14,13,309.0,137,193,63,2,2,3825.0,13.80938866,100.5481875,28.76931099103807,45.504058440285185,0
68,68,2024-01-15,เพชรเกษม - เพชรเกษม 86,กาญจนาภิเษก,1687,411.0,16,0,58,5,5923,2869.0,51,0,1038,22,1574.0,774,11,0,272,9,14720.0,13.71039609,100.4035937,34.22011421269694,4.141072944377,0
69,69,2024-01-15,เพชรเกษม - เพชรเกษม 86,เพชรเกษม 86,59,23.0,0,0,0,0,114,57.0,0,0,0,0,41.0,20,0,0,1,0,315.0,13.71039609,100.4035937,28.1160022532342,40.50487528748659,0
70,70,2024-01-15,เพชรเกษม - เพชรเกษม 86,เพชรเกษม,10764,3178.0,218,8,274,51,32581,14424.0,1112,30,2723,177,8845.0,3835,353,8,599,40,79220.0,13.71039609,100.4035937,31.998640434902256,31.245132162070462,0
71,71,2024-01-16,เฉลิมกรุง,ตรีเพชร,1532,324.0,73,4,1,144,6461,1869.0,302,28,36,571,1503.0,479,59,5,3,166,13560.0,13.747139,100.499747,25.423276459844722,6.116846676870641,0
72,72,2024-01-16,เฉลิมกรุง,ตีทอง,164,88.0,11,4,3,24,597,248.0,43,25,9,195,120.0,34,8,11,2,41,1627.0,13.747139,100.499747,26.355156915923423,29.85330100709537,0
73,73,2024-01-16,เฉลิมกรุง,เจริญกรุง,1356,245.0,54,45,11,53,4991,1392.0,177,129,49,416,1328.0,343,34,31,4,101,10759.0,13.747139,100.499747,31.312509695192272,5.169252510031469,0
74,74,2024-01-17,สะพานช้างโรงสี,อัษฎางค์,2431,458.0,24,0,10,87,5579,1666.0,106,0,57,335,778.0,324,16,0,7,46,11924.0,13.75130111,100.496386,29.330483687105342,41.60567421920166,0
75,75,2024-01-17,สะพานช้างโรงสี,บำรุงเมือง,448,145.0,6,0,6,90,1711,504.0,23,0,29,545,537.0,83,4,0,6,119,4256.0,13.75130111,100.496386,33.015884513950006,48.118608390629824,0
76,76,2024-01-18,หลักสี่,กำแพงเพชร 6,2659,855.0,3,0,24,6,8003,2243.0,11,0,104,20,2432.0,614,5,0,11,0,16990.0,13.88460851,100.5809086,28.863685182640353,26.045059233627942,0
77,77,2024-01-18,หลักสี่,แจ้งวัฒนะ,3818,1014.0,21,8,46,3,12580,4064.0,97,32,461,14,3183.0,1029,39,9,79,2,26499.0,13.88460851,100.5809086,27.251072778978866,17.749529714903982,0
78,78,2024-01-19,วัชรพล - รามอินทรา 65,วัชรพล (SB),1745,523.0,0,0,74,1,6189,2128.0,0,0,309,3,1505.0,486,0,0,43,2,13008.0,13.85888049,100.6470622,26.327281222615277,49.54496822005734,0
79,79,2024-01-19,วัชรพล - รามอินทรา 65,วัชรพล (EB),729,313.0,0,0,20,1,3225,1587.0,0,0,179,10,813.0,392,0,0,18,2,7289.0,13.85888049,100.6470622,33.79028278513858,30.518766241787592,0
80,80,2024-01-19,วัชรพล - รามอินทรา 65,รามอินทรา 65,572,166.0,0,0,3,1,1625,627.0,0,0,10,2,366.0,184,0,0,1,1,3558.0,13.85888049,100.6470622,26.957012075568983,28.23707064505362,0
81,81,2024-01-22,ไทยรามัญ - หทัยราษฎร์,หทัยราษฎร์,2137,918.0,4,3,71,0,5831,3914.0,11,6,699,1,1736.0,1123,3,3,80,2,16542.0,13.8967956,100.7220146,33.06112012428165,18.214100604141496,0
82,82,2024-01-22,ไทยรามัญ - หทัยราษฎร์,ไทยรามัญ,409,207.0,0,0,18,0,789,565.0,0,0,80,0,461.0,140,0,0,8,0,2677.0,13.8967956,100.7220146,33.97918408802579,20.516057692663964,0
83,83,2024-01-22,หทัยราษฎร์ - หทัยราษฎร์ 22,หทัยราษฎร์,2302,1402.0,3,2,105,0,7590,5857.0,16,6,1115,0,2271.0,1328,3,1,85,1,22087.0,13.87518914,100.722418,32.67970098750088,40.58061716396057,0
84,84,2024-01-22,หทัยราษฎร์ - หทัยราษฎร์ 22,หทัยราษฎร์  22,5,6.0,0,0,0,0,37,26.0,0,0,0,0,3.0,2,0,0,0,0,79.0,13.87518914,100.722418,25.89203676866216,33.48439273915589,0
85,85,2024-01-23,ประชาเกษม,ประชาธิปไตย,2253,617.0,49,9,13,52,8751,2951.0,110,27,71,286,1528.0,469,16,9,5,28,17244.0,13.766315,100.5066277,28.29793865687748,47.47460895541297,0
86,86,2024-01-23,ประชาเกษม,นครราชสีมา,423,79.0,12,4,1,8,1176,405.0,102,48,23,83,272.0,100,35,9,4,9,2793.0,13.766315,100.5066277,28.18430459983276,0.27950789538102594,0
87,87,2024-01-23,ประชาเกษม,กรุงเกษม,875,190.0,30,1,15,80,2583,915.0,131,3,70,372,826.0,280,28,0,6,67,6472.0,13.766315,100.5066277,26.36099327690116,43.519084121580995,0
88,88,2024-01-24,หน้าหมู่บ้านนันทวัน 5 (ซ.เลียบวารี 11),เลียบวารี,2661,1369.0,12,10,44,12,6855,4677.0,45,12,263,26,1696.0,1197,7,2,29,2,18919.0,13.85538,100.847079,26.299083475705093,12.861933040853229,0
89,89,2024-01-24,หน้าหมู่บ้านอมรทรัพย์ 1(ซ.เลียบวารี 25),เลียบวารี,2160,1406.0,27,3,98,2,6367,5589.0,76,3,501,4,1961.0,1371,31,1,48,0,19648.0,13.85471077,100.839386,33.76470514119325,10.72908122207693,0
90,90,2024-01-24,หน้าหมู่บ้านนันทวัน 10(ซ.เลียบวารี 37),เลียบวารี,2190,1496.0,23,3,118,0,5548,5370.0,66,2,551,4,1857.0,1342,31,1,48,1,18651.0,13.85425256,100.8343429,29.280225824194304,23.157543178921603,0
91,91,2024-01-24,หน้าหมู่บ้านฉัตรหลวง(ราษฎร์อุทิศ 54),เลียบวารี,3754,1618.0,8,0,73,2,8960,5769.0,24,0,291,4,3507.0,1251,14,0,44,0,25319.0,13.84022731,100.7862486,31.173598826365374,41.28973459551212,0
92,92,2024-01-24,ปากซอยราษฎร์พัฒนา,ราษฎร์อุทิศ,3941,1614.0,8,0,74,0,7530,6041.0,46,1,520,10,2435.0,1468,22,1,76,3,23790.0,13.8380091,100.7819894,26.153749153584236,17.611820121451032,0
93,93,2024-01-25,หน้า รร.พิทยาลงกรณ์พิทยาคม,เลียบคลองพิทยาลงกรณ์,287,295.0,0,2,81,0,1615,1587.0,4,0,436,1,504.0,331,0,0,99,0,5242.0,13.52608719,100.4187729,29.175151180877364,3.1229273226371204,0
94,94,2024-01-25,บางขุนเทียนชายทะเล - เลียบคลองพิทยาลงกรณ์,บางขุนเทียนชายทะเล,140,162.0,0,2,15,0,728,619.0,0,0,76,3,251.0,178,0,0,9,0,2183.0,13.52826316,100.4224832,27.482854406206016,14.783601455922385,0
95,95,2024-01-25,บางขุนเทียนชายทะเล - เลียบคลองพิทยาลงกรณ์,เลียบคลองพิทยาลงกรณ์,436,307.0,1,0,90,1,1265,1216.0,3,0,389,1,390.0,282,0,0,67,0,4448.0,13.52826316,100.4224832,30.421172546246346,24.803267643713816,0
96,96,2024-01-26,เอกมัยใต้,ทางเข้าออกขนส่งเอกมัย,20,15.0,12,13,0,1,108,94.0,47,25,8,7,79.0,22,12,25,1,0,489.0,13.7201071,100.5844644,26.84255006173867,23.484854448101604,0
97,97,2024-01-26,เอกมัยใต้,เอกมัย,1060,207.0,29,1,7,1,4357,1081.0,106,6,89,20,971.0,229,17,3,3,9,8196.0,13.7201071,100.5844644,32.98822114451217,43.76379717685007,0
98,98,2024-01-26,เอกมัยใต้,สุขุมวิท,3273,967.0,119,7,29,14,15027,5180.0,557,44,406,150,3773.0,1179,135,22,42,23,30947.0,13.7201071,100.5844644,25.463151604238043,15.28839659833216,0
99,99,2024-01-26,สุขุมวิท 42,สุขุมวิท 42,1397,393.0,33,5,61,9,4006,1781.0,131,15,214,41,845.0,302,21,4,12,24,9294.0,13.71950701,100.585011,29.98933596171959,49.02733109077118,0
100,100,2024-01-26,สุขุมวิท 42,สุขุมวิท,3273,967.0,119,7,29,14,15027,5180.0,557,44,406,150,3773.0,1179,135,22,42,23,30947.0,13.71950701,100.585011,27.46945695689223,21.331485135119234,0
101,101,2024-01-29,บางแค,บางแค,522,219.0,0,0,12,8,1943,987.0,0,0,154,25,443.0,174,0,0,14,4,4505.0,13.711753,100.420836,25.022509479212964,42.70674718215643,0
102,102,2024-01-29,บางแค,เพชรเกษม,6698,1801.0,234,0,79,196,23062,8566.0,943,1,742,411,6082.0,2249,204,0,79,87,51434.0,13.711753,100.420836,34.079674713665526,16.202389434077258,0
103,103,2024-01-30,ราชบพิธ - ตีทอง,ตีทอง,1073,359.0,34,30,19,115,4729,1560.0,166,100,137,678,1099.0,278,51,19,12,126,10585.0,13.7495339,100.5001802,27.10046301590401,33.5498540207069,0
104,104,2024-01-30,ราชบพิธ - ตีทอง,ราชบพิธ,20,11.0,0,0,1,65,71,33.0,0,0,7,92,32.0,6,0,0,1,22,361.0,13.7495339,100.5001802,30.032189995223625,14.72430710016457,0
105,105,2024-01-30,ปากซอยพระรามที่ 6 ซอย 15,พระรามที่ 6,1902,305.0,9,0,28,95,6993,1515.0,43,0,113,255,732.0,315,9,0,5,9,12328.0,13.75078211,100.5217036,29.32971441089686,46.11920744664237,0
106,106,2024-01-31,ตลาดเกรียงไกร,เคหะร่มเกล้า 33,571,175.0,10,0,3,1,1468,605.0,40,3,35,5,353.0,139,8,2,5,2,3425.0,13.762175,100.729328,28.94752262490215,9.74139373743017,0
107,107,2024-01-31,ตลาดเกรียงไกร,เคหะร่มเกล้า (SB),981,460.0,15,0,13,0,2524,1505.0,37,0,53,20,860.0,621,6,0,10,2,7107.0,13.762175,100.729328,27.78513426485337,3.765510345960399,0
108,108,2024-01-31,ตลาดเกรียงไกร,เคหะร่มเกล้า (EB),688,354.0,6,0,4,1,1940,1539.0,19,0,44,3,643.0,362,6,0,3,2,5614.0,13.762175,100.729328,31.88311650633531,20.84362578900735,0
109,109,2024-01-31,ตลาดเกรียงไกร,เคหะร่มเกล้า 31,649,204.0,6,0,4,0,1775,735.0,14,0,43,7,591.0,200,5,0,5,1,4239.0,13.762175,100.729328,26.354091667687612,21.559979861288742,0
110,110,2024-02-01,พหลโยธิน 48,พหลโยธิน,6387,1725.0,160,0,137,10,21289,8412.0,511,0,1298,43,5082.0,1809,104,0,136,5,47108.0,13.88614684,100.6029419,25.74834774512859,19.943366524044947,0
111,111,2024-02-01,พหลโยธิน 48,พหลโยธิน 48,679,151.0,0,0,2,3,1665,634.0,0,0,23,8,304.0,168,0,0,1,1,3639.0,13.88614684,100.6029419,29.17316225208397,35.97059292832899,0
112,112,2024-02-02,แฟลตการท่า,กำแพงเพชร 6,2519,706.0,0,0,20,2,7386,3264.0,0,0,173,20,2355.0,833,0,0,36,8,17322.0,13.905589,100.592875,26.671929422942622,24.007828749763622,0
113,113,2024-02-02,แฟลตการท่า,เชิดวุฒากาศ,2041,743.0,2,0,21,1,5046,2072.0,3,0,245,2,1677.0,538,1,0,39,0,12431.0,13.905589,100.592875,28.226409425779995,3.951767031696829,0
114,114,2024-02-05,วังหิน,ลาดพร้าววังหิน ,1473,448.0,3,0,15,10,5675,1649.0,10,0,74,91,1356.0,488,0,0,13,21,11326.0,13.8318984,100.5918019,28.410301975905124,15.82235989567488,0
